Average Domestic Airline Itinerary Fares By Origin City for Q2 2020 Ranked by Total Number of Domestic Passengers in 2024,,,,,,,,,,,,,,,,,,
2024 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Quarter:  Q4-2024),2024 Passengers (10% sample),,,,,,,,,,,
62,ORF,Norfolk International,Norfolk,VA,291.82,358.55," 1,35,070 ",,,,,,,,,,,
63,MEM,Memphis International,Memphis,TN,259.70,319.07," 1,33,439 ",,,,,,,,,,,
64,ABQ,Albuquerque International Sunport,Albuquerque,NM,242.88,298.41," 1,33,295 ",,,,,,,,,,,
65,PVD,Rhode Island Tf Green International,Providence,RI,230.78,283.55," 1,23,931 ",,,,,,,,,,,
66,GRR,Gerald R. Ford International,Grand Rapids,MI,232.27,285.37," 1,22,792 ",,,,,,,,,,,
67,SDF,Louisville Muhammad Ali International,Louisville,KY,253.88,311.93," 1,22,639 ",,,,,,,,,,,
68,OKC,Will Rogers World,Oklahoma City,OK,262.70,322.77," 1,21,164 ",,,,,,,,,,,
69,ELP,El Paso International,El Paso,TX,267.15,328.24," 1,20,309 ",,,,,,,,,,,
70,ANC,Ted Stevens Anchorage International,Anchorage,AK,384.80,472.78," 1,13,291 ",,,,,,,,,,,
71,GEG,Spokane International,Spokane,WA,278.16,341.76," 1,12,587 ",,,,,,,,,,,
72,OGG,Kahului Airport,Kahului,HI,217.20,266.86," 1,12,368 ",,,,,,,,,,,
73,RNO,Reno/Tahoe International,Reno,NV,268.64,330.06," 1,09,805 ",,,,,,,,,,,
74,LGB,Long Beach Airport,Long Beach,CA,180.52,221.80," 1,02,848 ",,,,,,,,,,,
75,TUS,Tucson International,Tucson,AZ,270.59,332.45," 1,02,184 ",,,,,,,,,,,
76,SYR,Syracuse Hancock International,Syracuse,NY,256.26,314.85," 94,536 ",,,,,,,,,,,
77,DSM,Des Moines International,Des Moines,IA,228.95,281.29," 91,115 ",,,,,,,,,,,
78,ALB,Albany International,Albany,NY,256.00,314.53," 88,845 ",,,,,,,,,,,
79,TUL,Tulsa International,Tulsa,OK,266.47,327.40," 88,037 ",,,,,,,,,,,
80,BHM,Birmingham-Shuttlesworth International,Birmingham,AL,271.34,333.38," 87,795 ",,,,,,,,,,,
81,SRQ,Sarasota/Bradenton International,Sarasota/Bradenton,FL,222.51,273.39," 86,365 ",,,,,,,,,,,
82,HPN,Westchester County,White Plains,NY,220.86,271.36," 85,416 ",,,,,,,,,,,
83,SAV,Savannah/Hilton Head International,Savannah,GA,316.73,389.15," 85,268 ",,,,,,,,,,,
